Month,Mailbox,Class3
January-04,11.64,11.61
February-04,12.25,11.89
March-04,14.31,14.49
April-04,17.04,19.66
May-04,17.29,20.58
June-04,16.14,17.68
July-04,13.68,14.85
August-04,13.44,14.04
September-04,14.03,14.72
October-04,13.67,14.16
November-04,14.84,14.89
December-04,14.82,16.14
January-05,14.43,14.14
February-05,13.87,14.70
March-05,13.82,14.08
April-05,13.87,14.61
May-05,13.07,13.77
June-05,13.01,13.92
July-05,13.42,14.35
August-05,12.75,13.60
September-05,13.49,14.30
October-05,13.55,14.35
November-05,12.91,13.35
December-05,13.13,13.37
January-06,12.93,13.39
February-06,11.62,12.20
March-06,10.99,11.11
April-06,10.51,10.93
May-06,10.20,10.83
June-06,10.23,11.29
July-06,10.00,10.92
August-06,10.49,11.06
September-06,11.30,12.29
October-06,11.54,12.32
November-06,11.82,12.84
December-06,12.13,13.47
January-07,12.30,13.56
February-07,13.00,14.18
March-07,13.79,15.09
April-07,14.55,16.09
May-07,16.34,17.60